1:binCentralValue 2:valuesAverage 3:multiplicity
21.25 9.401109744405131e-43 23228
21.5 8.895335640999617e-43 21816
21.75 8.276473112143313e-43 19472
22 7.802292319579169e-43 17696
22.25 7.042437553424742e-43 15588
22.5 6.28091033860863e-43 13760
22.75 5.333150721113464e-43 11565
23 4.724445876285419e-43 10016
23.25 4.130510017841608e-43 8652
23.5 3.589683454355274e-43 7652
23.75 3.230540961183675e-43 6542
24 2.661862064682585e-43 5478
24.25 2.51925747810401e-43 4886
24.5 2.202948053109052e-43 4068
24.75 1.685582094837621e-43 3326
25 1.446751125470587e-43 2696
25.25 1.258899623417944e-43 2304
25.5 1.073609232223285e-43 1934
25.75 7.086326718835314e-44 1344
26 4.627357829726875e-44 848
26.25 5.141342067182819e-44 888
26.5 3.624743781599716e-44 584
26.75 2.056817766846395e-44 344
27 5.332522729501451e-45 102
27.25 5.493563264534909e-45 104
27.5 9.874805943893968e-46 24
27.75 4.842529580767943e-49 1

0.25 1.649243636477875e-24 18
0.5 2.520732694128619e-24 62
0.75 1.447221044299583e-24 98
1 1.589689270843496e-24 210
1.25 7.051437674775825e-25 350
1.5 3.566485797466017e-25 450
1.75 9.176824682318099e-24 602
2 2.420359091943616e-23 762
2.25 1.43161841984577e-23 1142
2.5 2.762827681015096e-24 1250
2.75 5.942345427814176e-25 1458
3 9.942993684434962e-26 1814
3.25 1.142464539354319e-26 2178
3.5 6.542100016322032e-27 2498
3.75 5.503402470056094e-27 2622
4 6.063367591448844e-27 3338
4.25 6.317477242499516e-27 3722
4.5 8.204169315385927e-27 4170
4.75 1.146668450967278e-26 4358
5 5.069032636440756e-27 5034
5.25 1.351600468251833e-27 5714
5.5 1.04196316499461e-27 5982
5.75 9.201914350769792e-28 6602
6 6.992426879005735e-28 7130
6.25 4.3148091250544e-28 8034
6.5 2.657985030815982e-28 8606
6.75 1.594851924289841e-28 9066
7 8.527074873114889e-29 9962
7.25 3.691516311754701e-29 10550
7.5 1.205921018239052e-29 11226
7.75 2.34180072403637e-30 12146
8 5.902208459362628e-32 12606
8.25 1.864768159756104e-39 13802
8.5 6.266196693731608e-40 14754
8.75 1.658639648151836e-40 15194
9 7.630481813864e-41 16454
9.25 5.274912155490351e-41 17154
9.5 3.758449510994272e-41 18266
9.75 2.3572614823161e-41 18750
10 1.5211022756449e-41 20234
10.25 9.334546900172571e-42 21450
10.5 5.040832251944688e-42 21962
10.75 2.632239107870085e-42 23462
11 1.162619561379791e-42 24042
