1:binCentralValue 2:valuesAverage 3:multiplicity
23 4.750214162961336e-43 10016
23.25 4.20822051945785e-43 8652
23.5 3.772300569556991e-43 7652
23.75 3.334081903181358e-43 6542
24 2.824139522133835e-43 5478
24.25 2.53018201891091e-43 4886
24.5 2.130388341816077e-43 4068
24.75 1.867400194026704e-43 3326
25 1.467205616258318e-43 2696
25.25 1.290909607501252e-43 2304
25.5 1.080785163562079e-43 1934
25.75 7.173241591148206e-44 1344
26 4.819566922219538e-44 848
26.25 5.241436378282025e-44 888
26.5 3.755625526561778e-44 584
26.75 2.099751585908384e-44 344
27 5.225942810856172e-45 102
27.25 5.951118306089469e-45 104
27.5 1.424113609749974e-45 24
27.75 3.440969607205325e-48 1

0.25 3.367561688816543e-23 18
0.5 2.594151672785248e-23 62
0.75 3.627471928872077e-24 98
1 2.914493655165479e-24 210
1.25 5.287150798374208e-24 350
1.5 2.551722383717024e-23 450
1.75 3.215955265585062e-22 602
2 6.316897926195442e-22 762
2.25 2.478631573846957e-22 1142
2.5 2.164392579749523e-23 1250
2.75 1.692468884245255e-24 1458
3 1.77752824517527e-25 1814
3.25 2.967883095478149e-26 2178
3.5 1.030497523469547e-26 2498
3.75 9.943393674021485e-27 2622
4 1.445822554785221e-26 3338
4.25 1.831833352038178e-26 3722
4.5 2.210154723619461e-26 4170
4.75 2.733121304688127e-26 4358
5 2.880956810479722e-26 5034
5.25 3.190574846141058e-27 5714
5.5 1.086377816050465e-27 5982
5.75 9.602368027106421e-28 6602
6 7.071465766620745e-28 7130
6.25 4.357939567620154e-28 8034
6.5 2.623865741052301e-28 8606
6.75 1.593410584003626e-28 9066
7 8.696464334450105e-29 9962
7.25 3.784326776039739e-29 10550
7.5 1.182538387185015e-29 11226
7.75 2.305656906070357e-30 12146
8 5.713337778347717e-32 12606
8.25 8.896362826763039e-39 13802
8.5 3.55654884095425e-39 14754
8.75 7.987617652826018e-40 15194
9 1.78049278235177e-40 16454
9.25 6.60391686067912e-41 17154
9.5 4.012947567980826e-41 18266
9.75 2.527351283342182e-41 18750
10 1.584811510018793e-41 20234
10.25 9.549210140237624e-42 21450
10.5 5.127367720294614e-42 21962
10.75 2.688471146838572e-42 23462
11 1.17159186851347e-42 24042
11.25 5.273480998190778e-43 25946
11.5 2.480013432378002e-43 26118
11.75 1.897244999782859e-43 27506
12 2.071822842827292e-43 29066
12.25 2.344007351613536e-43 30450
12.5 2.59206227645824e-43 31742
12.75 2.874293840265882e-43 32250
13 3.262443648816438e-43 34250
13.25 3.666860862951008e-43 35454
13.5 4.106576874169667e-43 36434
13.75 4.574623151382644e-43 37682
14 5.220296233500853e-43 39294
14.25 5.832208589473305e-43 41426
14.5 6.411173789211647e-43 42066
14.75 6.996102128906594e-43 43490
15 7.844450938100402e-43 45702
15.25 8.588722962295634e-43 46634
15.5 9.260120866760946e-43 48554
15.75 9.752680848995342e-43 48870
16 1.047891636947955e-42 50963
16.25 1.090901288356628e-42 51576
16.5 1.07117861231039e-42 49316
16.75 1.109151457526744e-42 49344
17 1.08786093377893e-42 47192
17.25 1.126130833348653e-42 47576
17.5 1.121905395615949e-42 45348
17.75 1.124094509036657e-42 44060
18 1.152701606808161e-42 43872
18.25 1.136095868147741e-42 41756
18.5 1.165964029181578e-42 41528
18.75 1.141625952901139e-42 39300
19 1.159631454733523e-42 38276
19.25 1.159728010397779e-42 36900
19.5 1.123531168940095e-42 34724
