1:binCentralValue 2:valuesAverage 3:multiplicity
1.5 7.631248995767873e-19 98
2 1.839976651001798e-18 210
2.5 1.968209009719117e-19 350
3 3.947204008563046e-21 450
3.5 2.438507720889757e-23 602
4 7.474283526201949e-25 762
4.5 2.116266014767265e-24 1142
5 8.868572070544978e-25 1250
5.5 1.867653561432008e-27 1458
6 6.544720541731428e-28 1814
6.5 2.430641474204041e-28 2178
7 7.88504298061151e-29 2498
7.5 1.189540173823375e-29 2622
8 3.131538086629644e-31 3338
8.5 1.363598174852861e-37 3722
9 4.413182495192226e-39 4170
9.5 5.979940838989397e-41 4358
10 1.576412106986409e-41 5034
10.5 5.169329525641405e-42 5714
11 1.055142751055606e-42 5982
11.5 2.655508017631873e-43 6602
12 2.31662824646997e-43 7130
12.5 3.050439347136146e-43 8034
13 4.032185954014763e-43 8606
13.5 4.864048689967089e-43 9066
14 5.965173844799335e-43 9962
14.5 7.231102308620437e-43 10550
15 8.842023915876995e-43 11226
15.5 1.108815386679262e-42 12146
16 1.198128359642687e-42 12303
16.5 1.296041226578523e-42 12584
17 1.349325899716136e-42 12120
17.5 1.3358295942439e-42 11180
18 1.391806982087004e-42 11096
18.5 1.387423391945281e-42 10056
19 1.437935657073629e-42 9716
19.5 1.376116498821577e-42 8604
20 1.429425471807751e-42 8060
20.5 1.411546229864995e-42 7320
21 1.288167544294852e-42 6356
21.5 1.17520272423673e-42 5348
22 1.007419008148277e-42 4308
22.5 8.651578848745607e-43 3563
23 6.384536597852069e-43 2448
23.5 5.018808670034115e-43 1868
24 3.779047677387758e-43 1358
24.5 2.897339426254852e-43 1062
25 2.364174890191018e-43 776
25.5 1.315855830465775e-43 432
26 6.421989331460528e-44 200
26.5 6.468385567119018e-44 168
27 2.101769687150288e-44 56
27.5 3.935942585362118e-45 7

0.5 2.097050024859503e-18 18
1 4.719657299472321e-19 62
1.5 1.217156303338807e-17 98
2 3.050694135306385e-17 210
2.5 6.219185192847887e-19 350
3 2.834529300887961e-20 450
3.5 2.911421723983986e-22 602
4 2.877764215003318e-24 762
4.5 4.076504020945692e-24 1142
5 4.416296652834741e-24 1250
5.5 1.472858795425165e-26 1458
6 6.559003318768989e-28 1814
6.5 2.277855473599797e-28 2178
7 7.324064348230115e-29 2498
7.5 1.165085576859453e-29 2622
8 3.312920139785256e-31 3338
8.5 6.746477252112466e-37 3722
9 2.247509682529009e-38 4170
9.5 1.332867234399542e-40 4358
10 1.624850055972256e-41 5034
10.5 6.069291353722316e-42 5714
11 2.415788444533773e-42 5982
11.5 2.052955839783872e-42 6602
12 2.510244268547236e-42 7130
12.5 3.355119306330333e-42 8034
13 4.160880172727015e-42 8606
13.5 5.091211434273086e-42 9066
14 6.487428495255161e-42 9962
14.5 7.773653714211134e-42 10550
15 9.835392612153103e-42 11226
15.5 1.149070304276848e-41 12146
16 1.300554782510168e-41 12303
16.5 1.438850224390555e-41 12584
17 1.507249781887532e-41 12120
17.5 1.50119757246422e-41 11180
18 1.603486254839511e-41 11096
18.5 1.502752867566727e-41 10056
19 1.559817245447024e-41 9716
19.5 1.510207315792857e-41 8604
20 1.499023335690726e-41 8060
20.5 1.471239978951779e-41 7320
21 1.387727594679206e-41 6356
21.5 1.242384253723089e-41 5348
22 1.081810503055374e-41 4308
22.5 9.057068458482132e-42 3563
23 6.567278209468654e-42 2448
23.5 5.085105808697515e-42 1868
24 3.652451693637638e-42 1358
24.5 2.747237513301197e-42 1062
25 2.196315803909385e-42 776
25.5 1.248944924333858e-42 432
26 5.955613369067329e-43 200
26.5 5.297185435035582e-43 168
27 1.754155329799698e-43 56
27.5 1.207796199015147e-44 7

0.5 6.484947095244972e-16 18
1 1.667236700706429e-15 62
1.5 2.894271815804642e-15 98
2 3.86798501349495e-15 210
2.5 3.534797573442116e-16 350
3 7.311214929921677e-18 450
3.5 1.370544054335741e-20 602
4 2.822509456119772e-23 762
4.5 6.500197219453519e-23 1142
5 2.589414296453374e-23 1250
5.5 4.125892753879765e-25 1458
6 7.613432415505837e-28 1814
6.5 2.607847164893274e-28 2178
7 7.883822223750046e-29 2498
7.5 1.215267674198574e-29 2622
8 3.670253107670738e-31 3338
8.5 1.213462242890072e-35 3722
9 2.710110711613405e-37 4170
9.5 1.716985363594837e-39 4358
10 1.196659287166123e-40 5034
10.5 2.74458787830652e-41 5714
