1:binCentralValue 2:valuesAverage 3:multiplicity
2 2.74531177652941e-23 762
2.25 1.558354719506261e-23 1142
2.5 3.158942815621175e-24 1250
2.75 6.085907795041075e-25 1458
3 9.917394397339721e-26 1814
3.25 1.217734327711381e-26 2178
3.5 6.681396858690936e-27 2498
3.75 5.768519546720622e-27 2622
4 6.40696676093897e-27 3338
4.25 6.325979595213302e-27 3722
4.5 7.509906357776346e-27 4170
4.75 1.10276628844286e-26 4358
5 9.111690933818013e-27 5034
5.25 1.659915091847339e-27 5714
5.5 1.025761889543226e-27 5982
5.75 9.109355728742885e-28 6602
6 7.098504050787604e-28 7130
6.25 5.090842935356454e-28 8034
6.5 2.850538580530243e-28 8606
6.75 1.71828175333222e-28 9066
7 9.919068908971365e-29 9962
7.25 5.07602724599959e-29 10550
7.5 2.177430084679531e-29 11226
7.75 6.427992155014119e-30 12146
8 2.367300920347562e-31 12606
8.25 3.517736848164446e-39 13802
8.5 2.023991501332354e-39 14754
8.75 8.709822906951363e-40 15194
9 2.984038456095465e-40 16454
9.25 9.585636739381398e-41 17154
9.5 5.744239440434971e-41 18266
9.75 4.495690554403488e-41 18750
10 3.571735198010588e-41 20234
10.25 2.680453016928136e-41 21450
10.5 1.785761352252322e-41 21962
10.75 1.172419394024868e-41 23462
11 6.476186429892961e-42 24042
11.25 2.882439622688248e-42 25946
11.5 1.033611711717562e-42 26118
11.75 5.561913651278301e-43 27506
12 5.496581859622172e-43 28631
12.25 5.793599507367658e-43 28596
12.5 5.761601020842031e-43 27848
12.75 5.706503484922716e-43 26544
13 5.943558795896437e-43 26456
13.25 5.980767219136449e-43 25284
13.5 6.00932346176537e-43 24260
13.75 5.971768240767962e-43 23312
14 6.137034107015286e-43 22368
14.25 6.149909834231512e-43 21872
14.5 6.073731920966823e-43 20400
14.75 6.009838597945412e-43 19040
15 5.979912614956341e-43 18252
15.25 5.787127864267789e-43 16760
15.5 5.691597968498765e-43 15776
15.75 5.267768668354362e-43 13704
16 5.23838400582125e-43 13112
16.25 4.941327668889657e-43 11652
16.5 4.3657469537224e-43 9776
16.75 3.857954455887339e-43 8448
17 3.184345086714434e-43 7013
17.25 2.658946118695472e-43 5546
17.5 2.262548265120518e-43 4722
17.75 1.902015250187353e-43 3782
18 1.60840142127643e-43 3174
18.25 1.379695200652682e-43 2582
18.5 9.947044165312265e-44 1928
18.75 9.079902683362245e-44 1662
19 6.451754485414796e-44 1256
19.25 5.096333685817493e-44 864
19.5 2.519770817577548e-44 428
19.75 2.717928742299069e-44 456
20 1.477284528915375e-44 248
20.25 6.259578072912312e-45 104
20.5 4.604894469572944e-46 18
20.75 3.331636494773506e-46 7

0.25 2.355287313997074e-23 18
0.5 3.77439843504038e-23 62
0.75 4.113021006484096e-24 98
1 3.550925437647868e-24 210
1.25 7.327062554099798e-24 350
1.5 2.326541089624041e-23 450
1.75 3.085638441902448e-22 602
2 7.130614540686907e-22 762
2.25 2.750643248025986e-22 1142
2.5 2.621620761954734e-23 1250
2.75 1.790980931143178e-24 1458
3 1.95188415087792e-25 1814
3.25 3.541696829231638e-26 2178
3.5 1.155070482531297e-26 2498
3.75 1.07123675076401e-26 2622
4 1.622628742995545e-26 3338
4.25 2.087896429912858e-26 3722
4.5 2.441342999209665e-26 4170
4.75 2.358155970731112e-26 4358
5 3.222099122599602e-26 5034
5.25 7.882608194307593e-27 5714
5.5 1.216690430996896e-27 5982
5.75 9.304277949725844e-28 6602
6 7.283580108895044e-28 7130
6.25 4.99043223555607e-28 8034
6.5 2.900112975637722e-28 8606
6.75 1.697963730716074e-28 9066
7 1.0062222775451e-28 9962
7.25 5.145311250738296e-29 10550
7.5 2.138971982869104e-29 11226
7.75 6.260729035025699e-30 12146
8 2.322325895431532e-31 12606
8.25 1.202872546152941e-38 13802
8.5 7.906259086646603e-39 14754
8.75 3.785498406396924e-39 15194
9 1.274135208229899e-39 16454
9.25 2.433901162775947e-40 17154
9.5 7.19896258932195e-41 18266
9.75 4.801679370616409e-41 18750
10 3.732831889944088e-41 20234
10.25 2.757522073428318e-41 21450
10.5 1.862663776148154e-41 21962
10.75 1.226911005674664e-41 23462
11 6.835963024386505e-42 24042
11.25 3.218060256011246e-42 25946
11.5 1.134191849728672e-42 26118
11.75 5.990190980118732e-43 27506
12 5.83512292891103e-43 28631
12.25 6.162141999394763e-43 28596
12.5 6.17346370586459e-43 27848
12.75 6.114794330215352e-43 26544
13 6.383054332112575e-43 26456
13.25 6.370239995905427e-43 25284
13.5 6.347996932942735e-43 24260
13.75 6.393168831756778e-43 23312
14 6.4904480742829e-43 22368
14.25 6.618848523603214e-43 21872
14.5 6.499147318431323e-43 20400
14.75 6.412505462222031e-43 19040
15 6.373744770124757e-43 18252
15.25 6.163074848013753e-43 16760
15.5 6.13760359277331e-43 15776
15.75 5.582155483597884e-43 13704
16 5.635784094572535e-43 13112
16.25 5.222053148295981e-43 11652
16.5 4.657052028396e-43 9776
16.75 4.111563054209083e-43 8448
17 3.450670047462093e-43 7013
17.25 2.837646097057666e-43 5546
17.5 2.442621956793597e-43 4722
17.75 2.000842532460398e-43 3782
18 1.71342063225059e-43 3174
18.25 1.443982629915591e-43 2582
18.5 1.09157832350203e-43 1928
18.75 9.319673917350437e-44 1662
19 7.441691836399447e-44 1256
19.25 5.4569149387092e-44 864
19.5 2.611316238499074e-44 428
19.75 2.939054070887536e-44 456
20 1.557062484978503e-44 248
20.25 7.347842264882536e-45 104
20.5 4.632283555024599e-46 18
20.75 3.604983463221969e-46 7

0.25 1.589025667555771e-21 18
0.5 4.143019257361046e-21 62
0.75 1.747603751918159e-21 98
1 8.444334986759695e-22 210
1.25 2.183953306026862e-22 350
1.5 3.932929721903295e-21 450
1.75 2.30186396597322e-20 602
2 3.704216557138999e-20 762
2.25 1.320633517896955e-20 1142
2.5 1.463434373795643e-21 1250
2.75 1.140007583168142e-22 1458
3 3.415737450912902e-24 1814
3.25 6.438809212664441e-25 2178
3.5 3.67322325226543e-25 2498
3.75 1.961362917287308e-25 2622
4 1.838457682083546e-25 3338
